,id,user_id,user_login,user_name,game_id,game_name,type,viewer_count,started_at,language
0,40860588125,71092938,xqcow,xQcOW,32982,Grand Theft Auto V,live,75266,2021-03-04T02:16:55Z,en
1,40864541581,190835892,lck_korea,LCK_Korea,21779,League of Legends,live,66821,2021-03-04T07:30:02Z,ko
2,40864537581,124425501,lck,LCK,21779,League of Legends,live,36025,2021-03-04T07:29:37Z,en
3,40864597533,50988750,stylishnoob4,stylishnoob4,511224,Apex Legends,live,27044,2021-03-04T07:36:16Z,ja
4,40867043533,100814397,dota2ruhub,Dota2RuHub,29595,Dota 2,live,22997,2021-03-04T12:38:32Z,ru
5,40863921373,12943173,pokelawls,pokelawls,32982,Grand Theft Auto V,live,18300,2021-03-04T06:23:46Z,en
6,40864702141,181077473,gaules,Gaules,32399,Counter-Strike: Global Offensive,live,16660,2021-03-04T07:48:12Z,pt
7,40865658909,49207184,fps_shaka,fps_shaka,10902,Katamari Damacy,live,16171,2021-03-04T09:48:46Z,ja
8,40866654685,29654002,aba4647,랄로,509658,Just Chatting,live,15906,2021-03-04T11:56:57Z,ko
9,40866739997,156037856,fextralife,Fextralife,512923,Baldur's Gate 3,live,13317,2021-03-04T12:04:54Z,en
10,40866555181,157313528,zumi,Zumi,459931,Old School RuneScape,live,12515,2021-03-04T11:44:48Z,en
11,40866807613,31688366,symfuhny,Symfuhny,512710,Call of Duty: Warzone,live,12436,2021-03-04T12:12:15Z,en
12,40866655997,139470326,handongsuk,한동숙,21779,League of Legends,live,12205,2021-03-04T11:57:05Z,ko
13,40867047069,26610234,cohhcarnage,CohhCarnage,1535565784,Loop Hero,live,12099,2021-03-04T12:38:54Z,en
14,41300267388,72550899,roshtein,ROSHTEIN,498566,Slots,live,11528,2021-03-04T11:26:19Z,en
15,40866275661,70075625,silvername,SilverName,65627,I Wanna Be The Boshy,live,10758,2021-03-04T11:09:22Z,ru
16,40862936333,64581694,rogue,Rogue,511224,Apex Legends,live,9540,2021-03-04T04:54:52Z,en
17,41299760732,155642616,jrokezftw,JrokezFTW,516575,VALORANT,live,9508,2021-03-04T09:53:11Z,tr
18,40867325917,6094619,jankos,Jankos,21779,League of Legends,live,8962,2021-03-04T13:06:14Z,en
19,40864552301,490592527,valorant,VALORANT,516575,VALORANT,live,8653,2021-03-04T07:31:06Z,en
