,id,user_id,user_login,user_name,game_id,game_name,type,viewer_count,started_at,language
0,41319790012,3389768,philza,Philza,27471,Minecraft,live,63996,2021-03-05T17:59:43Z,en
1,40893322093,37402112,shroud,shroud,516575,VALORANT,live,63288,2021-03-05T19:54:46Z,en
2,40895002013,71092938,xqcow,xQcOW,509658,Just Chatting,live,53572,2021-03-05T21:11:25Z,en
3,40889756093,15564828,nickmercs,NICKMERCS,512710,Call of Duty: Warzone,live,49521,2021-03-05T16:40:32Z,en
4,41319907180,83232866,ibai,ibai,509658,Just Chatting,live,43048,2021-03-05T18:05:32Z,es
5,40890056669,45044816,montanablack88,MontanaBlack88,33180,The Last of Us,live,40978,2021-03-05T16:59:37Z,de
6,41319985164,96604083,ricoy23,ricoy23,263490,Rust,live,40653,2021-03-05T18:10:02Z,es
7,41320972300,39276140,rubius,Rubius,517781,House of Detention,live,39275,2021-03-05T19:04:37Z,es
8,41318471404,28575692,mistermv,mistermv,509663,Special Events,live,39063,2021-03-05T16:31:47Z,fr
9,41324012972,68246485,unboxholics,Unboxholics,495197,Mental Asylum VR,live,37462,2021-03-05T21:43:23Z,en
10,41323624972,93028922,fundy,Fundy,27471,Minecraft,live,37076,2021-03-05T21:19:32Z,en
11,40893448077,181077473,gaules,Gaules,508292,Bloons TD 6,live,35487,2021-03-05T20:00:21Z,pt
12,40894634157,149439626,blooprint,Blooprint,263490,Rust,live,31440,2021-03-05T20:55:58Z,en
13,40892548045,86124333,deathwingua,deathwingua,263490,Rust,live,28839,2021-03-05T19:15:22Z,en
14,41321338236,79087140,kendinemuzisyen,KendineMuzisyen,516575,VALORANT,live,28099,2021-03-05T19:24:03Z,tr
15,40895508285,124420521,lcs,LCS,21779,League of Legends,live,28013,2021-03-05T21:33:59Z,en
16,40893012637,38368793,iriskpvp,iRiskpvp,263490,Rust,live,26518,2021-03-05T19:39:05Z,en
17,40892856253,97876585,nerdstgamers,nerdstgamers,516575,VALORANT,live,25525,2021-03-05T19:30:59Z,en
18,40889402541,52091823,castro_1021,Castro_1021,518204,FIFA 21,live,24925,2021-03-05T16:16:35Z,en
19,40891900989,121365735,swales94,Swales94,263490,Rust,live,24735,2021-03-05T18:43:31Z,en
