,id,user_id,user_login,user_name,game_id,game_name,type,viewer_count,started_at,language
0,40860588125,71092938,xqcow,xQcOW,32982,Grand Theft Auto V,live,71473,2021-03-04T02:16:55Z,en
1,40864541581,190835892,lck_korea,LCK_Korea,21779,League of Legends,live,43227,2021-03-04T07:30:02Z,ko
2,40864537581,124425501,lck,LCK,21779,League of Legends,live,33542,2021-03-04T07:29:37Z,en
3,40864597533,50988750,stylishnoob4,stylishnoob4,511224,Apex Legends,live,23359,2021-03-04T07:36:16Z,ja
4,40863921373,12943173,pokelawls,pokelawls,32982,Grand Theft Auto V,live,16568,2021-03-04T06:23:46Z,en
5,40865658909,49207184,fps_shaka,fps_shaka,10902,Katamari Damacy,live,15127,2021-03-04T09:48:46Z,ja
6,40864702141,181077473,gaules,Gaules,32399,Counter-Strike: Global Offensive,live,14914,2021-03-04T07:48:12Z,pt
7,40865324605,156037856,fextralife,Fextralife,506415,Sekiro: Shadows Die Twice,live,12572,2021-03-04T09:03:20Z,en
8,40866275661,70075625,silvername,SilverName,138585,Hearthstone,live,12468,2021-03-04T11:09:22Z,ru
9,40864576525,146549780,lol_woolf,울프,21779,League of Legends,live,10661,2021-03-04T07:33:53Z,ko
10,41299703468,50597026,ponce,Ponce,509658,Just Chatting,live,10537,2021-03-04T09:40:13Z,fr
11,40864808317,124425627,lpl,LPL,21779,League of Legends,live,10359,2021-03-04T08:00:05Z,en
12,40864739885,26513896,imls,imls,21779,League of Legends,live,10235,2021-03-04T07:52:36Z,en
13,40862936333,64581694,rogue,Rogue,511224,Apex Legends,live,10151,2021-03-04T04:54:52Z,en
14,41299039340,98506045,mutex,MuTeX,512710,Call of Duty: Warzone,live,8928,2021-03-04T06:13:04Z,en
15,41299658492,117168642,chowh1,chowh1,512710,Call of Duty: Warzone,live,8755,2021-03-04T09:29:43Z,fr
16,40864552301,490592527,valorant,VALORANT,516575,VALORANT,live,8179,2021-03-04T07:31:06Z,en
17,40864668797,213749122,dota2mc_ru,dota2mc_ru,29595,Dota 2,live,8074,2021-03-04T07:44:26Z,ru
18,41299633308,43102846,shaunz,Shaunz,513143,Teamfight Tactics,live,7997,2021-03-04T09:23:38Z,fr
19,40864978237,148057505,tmxk319,괴물쥐123,21779,League of Legends,live,7961,2021-03-04T08:19:52Z,ko
