,id,user_id,user_login,user_name,game_id,game_name,type,viewer_count,started_at,language
0,40871043789,95671295,albin,Albin,263490,Rust,live,66990,2021-03-04T17:56:04Z,en
1,40885697517,35739604,rekkles,Rekkles,21779,League of Legends,live,34078,2021-03-05T10:42:44Z,en
2,40887124893,545050196,kato_junichi0817,加藤純一です,417752,Talk Shows & Podcasts,live,28597,2021-03-05T13:14:32Z,ja
3,40886208237,151920918,nasa,NASA,509670,Science & Technology,live,27802,2021-03-05T11:42:34Z,en
4,40887306973,103440455,yd0821,양띵,27471,Minecraft,live,24510,2021-03-05T13:31:45Z,ko
5,40885179789,127506955,pubg,PUBG,493057,PLAYERUNKNOWN'S BATTLEGROUNDS,live,22566,2021-03-05T09:36:09Z,en
6,40885055645,238141340,pubgkorea,PUBGKorea,493057,PLAYERUNKNOWN'S BATTLEGROUNDS,live,20750,2021-03-05T09:20:10Z,ko
7,40886743517,100814397,dota2ruhub,Dota2RuHub,29595,Dota 2,live,19719,2021-03-05T12:38:51Z,ru
8,40885937309,49207184,fps_shaka,fps_shaka,24193,Left 4 Dead 2,live,17300,2021-03-05T11:10:34Z,ja
9,40884936141,156037856,fextralife,Fextralife,1041,Diablo II,live,16515,2021-03-05T09:04:55Z,en
10,40885877581,103825127,hanryang1125,풍월량,1535565784,Loop Hero,live,15952,2021-03-05T11:03:44Z,ko
11,40886912461,57315054,aesmatv,aesmatv,491487,Dead by Daylight,live,15623,2021-03-05T12:56:00Z,en
12,40886828669,26610234,cohhcarnage,CohhCarnage,1535565784,Loop Hero,live,13602,2021-03-05T12:47:40Z,en
13,40887357725,31688366,symfuhny,Symfuhny,512710,Call of Duty: Warzone,live,12174,2021-03-05T13:36:15Z,en
14,40884580221,148057505,tmxk319,괴물쥐123,21779,League of Legends,live,11074,2021-03-05T08:20:49Z,ko
15,40884682989,50988750,stylishnoob4,stylishnoob4,21812,Demon's Souls,live,10967,2021-03-05T08:33:34Z,ja
16,41314749788,50597026,ponce,Ponce,30921,Rocket League,live,10340,2021-03-05T09:41:03Z,fr
17,40884569133,98506045,mutex,MuTeX,512710,Call of Duty: Warzone,live,10181,2021-03-05T08:19:25Z,en
18,41315935068,123890760,harryhesketh,HarryHesketh,518204,FIFA 21,live,9795,2021-03-05T12:49:13Z,en
19,41316366572,72550899,roshtein,ROSHTEIN,498566,Slots,live,9567,2021-03-05T13:37:50Z,en
